uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1719651271","29 Jun 2024, 08:54","Jane Weaver","9f1e8554-0d64-4095-8259-73730e15ae2b","Modern Kosmology","5c280270-ee4c-4b95-94ac-00f4f2197591","Modern Kosmology","35fd74da-9de6-4e20-a456-a20700999b24"
"1719651021","29 Jun 2024, 08:50","The Upsidedown","f2571dd3-8ebf-4d93-a6b8-a9306b12041f","Trust Electricity","919e3ea9-fb6a-4cf3-82d6-18bb2a0c289b","Elizabeth","5bb66b69-65f5-3205-a127-ab3dd6ced6bf"
"1719650808","29 Jun 2024, 08:46","Josh Ritter","ac53c83c-c969-477f-9564-769e1ed80519","So Runs the World Away","248147b8-d86f-46ca-bb6c-942c68d70c02","Southern Pacifica","32b76b29-33dc-417f-902e-2ba072750c1c"
"1719650569","29 Jun 2024, 08:42","Holly Golightly & The Brokeoffs","","You Can’t Buy a Gun When You’re Crying","","Devil Do","8fd44a37-636f-4328-93a5-78bf3ef03e40"
"1719650216","29 Jun 2024, 08:36","Beth Gibbons","5adcb9d9-5ea2-428d-af46-ef626966e106","Lives Outgrown","0675dcfd-412a-4bf5-a082-12adab188c14","Floating on a Moment","d3a3429a-9a29-4e96-88dc-821f0d2fd35c"
"1719649833","29 Jun 2024, 08:30","Ane Brun","d735497b-25f9-4503-8fb5-f50150730c18","Spending Time With Morgan","2c12cad5-bfca-4738-a06d-16b0b7b2679d","Humming One Of Your Songs","02953707-0eba-4217-a696-e5e60801c987"
"1719649673","29 Jun 2024, 08:27","The Black Keys","d15721d8-56b4-453d-b506-fc915b14cba2","Turn Blue","0bf00c15-8b27-477f-8ee0-e229f9622143","Bullet in the Brain","7784401a-8133-48d3-8216-b84cdf0101cf"
"1719649438","29 Jun 2024, 08:23","The Black Keys","d15721d8-56b4-453d-b506-fc915b14cba2","Turn Blue","0bf00c15-8b27-477f-8ee0-e229f9622143","Year in Review","192c8898-2069-487c-8ef3-058d32cfc029"
"1719649191","29 Jun 2024, 08:19","The Black Keys","d15721d8-56b4-453d-b506-fc915b14cba2","Turn Blue","0bf00c15-8b27-477f-8ee0-e229f9622143","Fever","8aa42330-57f4-45dd-af0b-94a702d58b8f"
"1719648968","29 Jun 2024, 08:16","The Black Keys","d15721d8-56b4-453d-b506-fc915b14cba2","Turn Blue","0bf00c15-8b27-477f-8ee0-e229f9622143","Turn Blue","36c6a85b-c418-4650-9a1e-f6dadd521814"
"1719648716","29 Jun 2024, 08:11","The Black Keys","d15721d8-56b4-453d-b506-fc915b14cba2","Turn Blue","0bf00c15-8b27-477f-8ee0-e229f9622143","In Time","7017258f-49f3-4337-8458-31d7f726a651"
"1719648378","29 Jun 2024, 08:06","The Black Keys","d15721d8-56b4-453d-b506-fc915b14cba2","Turn Blue","0bf00c15-8b27-477f-8ee0-e229f9622143","Weight of Love","0bb6ee81-d8fb-4fe0-b94c-e2c62ed5e7b2"
"1719648050","29 Jun 2024, 08:00","Massive Attack","10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8","Danny the Dog","2c671d19-fdd3-3f5f-a390-d6b224459e4a","Collar Stays On","12cf1719-3987-349a-a765-c641235fa7df"
"1719647922","29 Jun 2024, 07:58","Agnes Obel","e3c4c4af-f83b-4168-84cb-898009dd0447","Philharmonics","1b5ec3d0-eaed-4933-9afe-a6f7ed2f0a47","Louretta","07bad562-a2f3-448c-8dc4-b73992921a6f"
"1719647755","29 Jun 2024, 07:55","Agnes Obel","e3c4c4af-f83b-4168-84cb-898009dd0447","Philharmonics","1b5ec3d0-eaed-4933-9afe-a6f7ed2f0a47","Beast","0d56e050-4485-456c-891c-8d9d1067b940"
"1719647524","29 Jun 2024, 07:52","Agnes Obel","e3c4c4af-f83b-4168-84cb-898009dd0447","Philharmonics","1b5ec3d0-eaed-4933-9afe-a6f7ed2f0a47","Just So","159c865d-17f3-4cb5-bed7-5a9e6b89ad89"
"1719647301","29 Jun 2024, 07:48","Agnes Obel","e3c4c4af-f83b-4168-84cb-898009dd0447","Philharmonics","1b5ec3d0-eaed-4933-9afe-a6f7ed2f0a47","Brother Sparrow","264b1c6f-8cc6-3bf5-ba49-7c8dc51d7e42"
"1719647072","29 Jun 2024, 07:44","Agnes Obel","e3c4c4af-f83b-4168-84cb-898009dd0447","Philharmonics","1b5ec3d0-eaed-4933-9afe-a6f7ed2f0a47","Riverside","c33a232b-be48-486e-8a92-17d055d8b405"
"1719646915","29 Jun 2024, 07:41","Agnes Obel","e3c4c4af-f83b-4168-84cb-898009dd0447","Philharmonics","1b5ec3d0-eaed-4933-9afe-a6f7ed2f0a47","Falling, Catching","3c387ad8-07d7-3acf-ba49-82ce025c1320"
"1719646852","29 Jun 2024, 07:40","Danger Mouse & Black Thought","","Cheat Codes","","Cheat Codes",""
"1719646691","29 Jun 2024, 07:38","M. Ward","655b3e5b-09e4-45dd-941c-6fa3fc12521b","End of Amnesia","0196a9ed-4901-48d9-91bf-5e1b7473e7cd","Carolina","2630fa7f-2d9b-30c2-93c9-fa5e3c66c93b"
"1719646468","29 Jun 2024, 07:34","Emily Jane White","0fa6cc65-79f0-4cc4-9f84-75e67961b4d4","Dark Undercoat","0a90bbe9-7292-489c-8084-d66f3485bf6a","Time On Your Side","1f09f6b1-bb09-45d3-bc4b-2bb78c27c3b7"
"1719646296","29 Jun 2024, 07:31","Songs: Ohia","1305bd7e-27ef-4236-ae87-0a7d435234ca","Axxess & Ace","89aab8da-62c8-4ca6-87d6-2dfa88d52c6c","Love & Work","3e838a92-8d7c-380a-ba83-7948848d452f"
"1719646099","29 Jun 2024, 07:28","Damien Jurado","f4805b9d-68f8-438e-8f13-ec7bcb4c8581","Caught in the Trees","06f9c0a7-a16d-499d-9daa-0b0d08e63f29","Everything Trying","0fe0c9ef-8744-3a12-b10e-3f00287e7ade"
"1719645844","29 Jun 2024, 07:24","Steve Earle and the Del McCoury Band","ec863030-7c13-45a3-a025-a69195d3a020","The Mountain","","Pilgrim","347075a2-2c17-499a-9238-120d939c09a1"
"1719645596","29 Jun 2024, 07:19","The Civil Wars","91dad7e7-0bf6-47e8-bd42-ef1fac32c729","Poison & Wine EP","34e7ba5d-fc2c-44e3-abb4-e44a5bc25fac","Pressing Flowers","58acb989-604f-32f2-b1a5-50c7d46ac310"
"1719645439","29 Jun 2024, 07:17","Vic Chesnutt","b07cdbbe-421e-418a-bbb7-ce0d8d53bfa8","North Star Deserter","a9c5c2bd-549f-43b4-b11d-42c298789fd9","Wallace Stevens","2a90e325-fed5-3624-8daf-a4c05c46c621"
"1719645306","29 Jun 2024, 07:15","Nick Drake","99ea432a-e3d8-42cb-9d5e-db316a6a8458","Pink Moon","278903c5-465e-4dfe-b278-10e7ce02f0d3","Pink Moon","08b310d3-68e4-4f00-9e30-7b332f52702c"
